datetime,CODNEG,adj_close
2014-04-28,EZTC3,16.6127
2014-04-29,EZTC3,16.7932
2014-04-30,EZTC3,17.0420
2014-05-02,EZTC3,16.8781
2014-05-05,EZTC3,16.7744
2014-05-06,EZTC3,16.6256
2014-05-07,EZTC3,16.5932
2014-05-08,EZTC3,16.5414
2014-05-09,EZTC3,15.9522
2014-05-12,EZTC3,16.1206
2014-05-13,EZTC3,16.1141
2014-05-14,EZTC3,16.3407
2014-05-15,EZTC3,16.1464
2014-05-16,EZTC3,16.2112
2014-05-19,EZTC3,15.9587
2014-05-20,EZTC3,16.0170
2014-05-21,EZTC3,16.1594
2014-05-22,EZTC3,16.3472
2014-05-23,EZTC3,16.1529
2014-05-26,EZTC3,15.9911
2014-05-27,EZTC3,15.6091
2014-05-28,EZTC3,15.6609
2014-05-29,EZTC3,15.4731
2014-05-30,EZTC3,14.9164
2014-06-02,EZTC3,14.9811
2014-06-03,EZTC3,14.9228
2014-06-04,EZTC3,15.0847
2014-06-05,EZTC3,15.2142
2014-06-06,EZTC3,15.3437
2014-06-09,EZTC3,15.4019
2014-06-10,EZTC3,15.5249
2014-06-11,EZTC3,15.6868
2014-06-13,EZTC3,15.4731
2014-06-16,EZTC3,15.2142
2014-06-17,EZTC3,15.0005
2014-06-18,EZTC3,15.2530
2014-06-20,EZTC3,15.1624
2014-06-23,EZTC3,14.9552
2014-06-24,EZTC3,14.9099
2014-06-25,EZTC3,14.8904
2014-06-26,EZTC3,14.7869
2014-06-27,EZTC3,15.0588
2014-06-30,EZTC3,15.1624
2014-07-01,EZTC3,15.0588
2014-07-02,EZTC3,15.0200
2014-07-03,EZTC3,14.9358
2014-07-04,EZTC3,14.8840
2014-07-07,EZTC3,14.9423
2014-07-08,EZTC3,14.8711
2014-07-10,EZTC3,14.8711
2014-07-11,EZTC3,15.0912
2014-07-14,EZTC3,15.4084
2014-07-15,EZTC3,15.0653
2014-07-16,EZTC3,14.9228
2014-07-17,EZTC3,14.8904
2014-07-18,EZTC3,15.4408
2014-07-21,EZTC3,14.8581
2014-07-22,EZTC3,15.1948
2014-07-23,EZTC3,14.8904
2014-07-24,EZTC3,14.8516
2014-07-25,EZTC3,14.9940
2014-07-28,EZTC3,14.9099
2014-07-29,EZTC3,14.9293
2014-07-30,EZTC3,14.8581
2014-07-31,EZTC3,14.5668
2014-08-01,EZTC3,14.7740
2014-08-04,EZTC3,14.9164
2014-08-05,EZTC3,14.6315
2014-08-06,EZTC3,14.4761
2014-08-07,EZTC3,14.2755
2014-08-08,EZTC3,14.5020
2014-08-11,EZTC3,14.3402
2014-08-12,EZTC3,14.3337
2014-08-13,EZTC3,14.3402
2014-08-14,EZTC3,14.1136
2014-08-15,EZTC3,14.2107
2014-08-18,EZTC3,14.3337
2014-08-19,EZTC3,14.5991
2014-08-20,EZTC3,14.7610
2014-08-21,EZTC3,15.0200
2014-08-22,EZTC3,14.6380
2014-08-25,EZTC3,14.8904
2014-08-26,EZTC3,14.8776
2014-08-27,EZTC3,15.3437
2014-08-28,EZTC3,15.4084
2014-08-29,EZTC3,15.8034
2014-09-01,EZTC3,16.5220
2014-09-02,EZTC3,16.5867
2014-09-03,EZTC3,17.0399
2014-09-04,EZTC3,16.8716
2014-09-05,EZTC3,16.8262
2014-09-08,EZTC3,16.2824
2014-09-09,EZTC3,15.8874
2014-09-10,EZTC3,15.8162
2014-09-11,EZTC3,15.9069
2014-09-12,EZTC3,15.4667
2014-09-15,EZTC3,15.4149
2014-09-16,EZTC3,15.5185
2014-09-17,EZTC3,15.4278
2014-09-18,EZTC3,15.1494
2014-09-19,EZTC3,15.1689
2014-09-22,EZTC3,14.5150
2014-09-23,EZTC3,14.3272
2014-09-24,EZTC3,14.1848
2014-09-25,EZTC3,14.0942
2014-09-26,EZTC3,14.5279
2014-09-29,EZTC3,13.7705
2014-09-30,EZTC3,13.5957
2014-10-01,EZTC3,12.9483
2014-10-02,EZTC3,13.0130
2014-10-03,EZTC3,13.2720
2014-10-06,EZTC3,14.0618
